time,equity
2026-06-07T14:14:27.875718+00:00,10000.0
2026-06-07T17:37:00.612067+00:00,10000.0
2026-06-07T21:21:17.313825+00:00,10000.0
2026-06-08T04:57:08.296019+00:00,10000.0
2026-06-08T12:41:24.905577+00:00,10000.0
2026-06-08T18:31:42.997621+00:00,10000.0
2026-06-08T21:58:00.911047+00:00,10000.0
2026-06-09T04:19:24.432034+00:00,10000.0
2026-06-09T11:27:25.452932+00:00,10000.0
2026-06-09T15:24:10.091802+00:00,10000.0
2026-06-09T18:18:11.151031+00:00,10000.0
2026-06-09T21:56:17.958294+00:00,10000.0
2026-06-10T04:40:13.276518+00:00,10000.0
2026-06-10T11:47:00.687954+00:00,10000.0
2026-06-10T16:00:36.595129+00:00,10000.0
2026-06-10T18:38:21.580464+00:00,10000.0
2026-06-10T22:15:53.911780+00:00,10000.0
2026-06-11T04:53:41.064052+00:00,10000.0
2026-06-11T12:16:52.651196+00:00,10000.0
2026-06-11T18:52:23.242220+00:00,10000.0
2026-06-11T22:09:04.071225+00:00,10000.0
2026-06-12T04:57:03.421012+00:00,10000.0
2026-06-12T11:50:36.565040+00:00,10000.0
2026-06-12T15:34:42.033630+00:00,10000.0
2026-06-12T18:16:01.428019+00:00,10000.0
2026-06-12T21:58:12.176302+00:00,10000.0
2026-06-13T04:43:36.578626+00:00,10000.0
2026-06-13T10:36:04.952196+00:00,10000.0
2026-06-13T14:20:32.205938+00:00,10000.0
2026-06-13T17:41:08.477589+00:00,10000.0
2026-06-13T21:23:58.059558+00:00,10000.0
2026-06-14T05:01:36.104130+00:00,10000.0
2026-06-14T10:53:56.024965+00:00,10000.0
2026-06-14T14:23:05.480913+00:00,10000.0
2026-06-14T17:39:25.210277+00:00,10000.0
2026-06-14T21:23:57.376784+00:00,10000.0
2026-06-15T05:21:50.082653+00:00,10000.0
2026-06-15T14:32:52.116059+00:00,10000.0
2026-06-15T19:53:29.667187+00:00,10000.0
2026-06-15T22:25:05.457455+00:00,10000.0
2026-06-16T05:25:37.327153+00:00,10000.0
2026-06-16T13:02:29.266721+00:00,10000.0
2026-06-16T19:47:55.763065+00:00,10000.0
2026-06-16T22:21:22.476034+00:00,10000.0
2026-06-17T05:05:21.524760+00:00,10000.0
2026-06-17T12:23:49.361750+00:00,10000.0
2026-06-17T18:29:02.950945+00:00,10000.0
2026-06-17T22:08:58.279497+00:00,10000.0
2026-06-18T04:54:55.208822+00:00,10000.0
2026-06-18T11:56:16.181122+00:00,10000.0
2026-06-18T15:49:01.870999+00:00,10000.0
2026-06-18T18:32:42.180684+00:00,10000.0
2026-06-18T22:22:48.454549+00:00,10000.0
2026-06-19T05:18:37.361670+00:00,10000.0
2026-06-19T09:07:05.799431+00:00,10000.0
2026-06-19T09:10:12.504247+00:00,10000.0
2026-06-19T09:37:43.244594+00:00,10000.0
2026-06-19T09:44:11.145321+00:00,10000.0
2026-06-19T10:12:56.110160+00:00,10000.0
2026-06-19T10:17:09.045228+00:00,10000.0
2026-06-19T12:16:16.858350+00:00,10000.0
2026-06-19T18:04:56.545885+00:00,10000.0
2026-06-19T21:18:08.719138+00:00,10000.0
2026-06-20T04:26:43.718739+00:00,10000.0
2026-06-20T10:38:54.299960+00:00,10000.0
2026-06-20T14:25:32.763168+00:00,10000.0
2026-06-20T17:42:12.261188+00:00,10000.0
2026-06-20T21:25:52.560697+00:00,10000.0
2026-06-21T05:10:43.918143+00:00,10000.0
2026-06-21T11:22:56.799220+00:00,10000.0
2026-06-21T14:29:13.711831+00:00,10000.0
2026-06-21T17:47:21.348139+00:00,10000.0
2026-06-21T21:25:05.169925+00:00,10000.0
2026-06-22T05:23:51.159931+00:00,10000.0
2026-06-22T13:42:56.214655+00:00,10000.0
2026-06-22T19:38:41.952535+00:00,10000.0
2026-06-22T22:11:13.829560+00:00,10000.0
2026-06-23T04:16:08.121408+00:00,10000.0
2026-06-23T11:26:50.833237+00:00,10000.0
2026-06-23T15:20:39.670680+00:00,10000.0
2026-06-23T18:08:06.887727+00:00,10000.0
2026-06-23T21:48:34.632793+00:00,10000.0
2026-06-24T04:19:29.986374+00:00,10000.0
2026-06-24T11:13:00.160146+00:00,10000.0
2026-06-24T14:50:49.237838+00:00,10000.0
2026-06-24T18:03:52.514895+00:00,10000.0
2026-06-24T21:40:10.292953+00:00,10000.0
2026-06-25T04:19:14.145521+00:00,10000.0
2026-06-25T10:50:40.704321+00:00,10000.0
2026-06-25T14:54:03.219918+00:00,10000.0
2026-06-25T18:21:39.837064+00:00,10000.0
2026-06-25T21:49:59.200643+00:00,10000.0
2026-06-26T04:25:24.195383+00:00,10000.0
2026-06-26T11:11:52.201933+00:00,10000.0
2026-06-26T14:42:38.077007+00:00,10000.0
2026-06-26T16:57:15.099990+00:00,10000.0
2026-06-26T18:00:18.607623+00:00,10000.0
2026-06-26T21:26:21.400293+00:00,10000.0
2026-06-27T04:11:54.413330+00:00,10000.0
2026-06-27T10:19:16.962608+00:00,10000.0
2026-06-27T14:02:11.538451+00:00,10000.0
2026-06-27T17:20:07.618207+00:00,10000.0
2026-06-27T21:15:12.555739+00:00,10000.0
2026-06-28T04:46:06.820069+00:00,10000.0
2026-06-28T10:33:04.755623+00:00,10000.0
2026-06-28T14:08:45.021516+00:00,10000.0
2026-06-28T17:23:02.450804+00:00,10000.0
2026-06-28T21:13:51.367832+00:00,10000.0
2026-06-29T04:54:37.100183+00:00,10000.0
2026-06-29T12:41:29.230067+00:00,10000.0
2026-06-29T18:18:39.548345+00:00,10000.0
2026-06-29T21:41:46.551992+00:00,10000.0
2026-06-30T04:20:39.350114+00:00,10000.0
2026-06-30T11:17:23.291505+00:00,10000.0
2026-06-30T14:38:00.094885+00:00,10000.0
2026-06-30T18:07:10.209776+00:00,10000.0
2026-06-30T21:44:37.679404+00:00,10000.0
2026-07-01T04:48:20.902235+00:00,10000.0
2026-07-01T11:31:56.581969+00:00,10000.0
2026-07-01T14:54:19.145989+00:00,10000.0
2026-07-01T18:07:04.340389+00:00,10000.0
2026-07-01T21:44:12.510533+00:00,10000.0
2026-07-02T04:15:50.204877+00:00,10000.0
2026-07-02T10:49:52.898000+00:00,10000.0
2026-07-02T14:25:01.181981+00:00,10000.0
2026-07-02T17:59:27.768133+00:00,10000.0
2026-07-02T21:19:21.883857+00:00,10000.0
2026-07-03T04:02:18.103110+00:00,10000.0
2026-07-03T07:32:44.303226+00:00,10000.0
2026-07-03T10:47:36.566128+00:00,10000.0
2026-07-03T14:28:23.463223+00:00,10000.0
2026-07-03T17:42:18.326165+00:00,10000.0
2026-07-03T21:18:21.218693+00:00,10000.0
2026-07-04T03:56:05.385810+00:00,10000.0
2026-07-04T06:55:20.442789+00:00,10000.0
2026-07-04T10:21:48.995866+00:00,10000.0
2026-07-04T13:53:18.447797+00:00,10000.0
2026-07-04T17:16:31.863509+00:00,10000.0
